LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 1.4
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.005
variable tau equal 100*${dt}
variable tau equal 100*0.005
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.005
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.4
Lattice spacing in x,y,z = 1.4189834 1.4189834 1.4189834
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (11.351867 11.351867 11.351867)
  1 by 2 by 2 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (11.351867 11.351867 11.351867)
  create_atoms CPU = 0.010 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.005
thermo ${thermo_time}
thermo 250

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 0.5
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.098 | 3.098 | 3.098 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              4.4978027      4.1979492    
       250   2.1372916      2.6774703      0              5.8818423      57.364633    
       500   2.8585411      3.4492626      0              7.7349806      67.790001    
       750   3.0948591      3.8639127      0              8.5039346      73.440674    
      1000   2.8652633      3.5565716      0              7.852368       69.460573    
      1250   3.0794939      3.7418117      0              8.358797       71.92179     
      1500   3.0082923      3.5269636      0              8.0371988      69.107664    
      1750   3.0432382      3.5913221      0              8.1539505      70.337943    
      2000   3.0726832      3.6116428      0              8.2184171      70.379645    
      2250   2.9380391      3.6062928      0              8.0111995      70.270589    
      2500   3.1072525      3.6487043      0              8.3073072      70.989266    
      2750   2.9412883      3.5856064      0              7.9953846      70.164778    
      3000   2.9335473      3.8638251      0              8.2619975      73.27069     
      3250   3.0376407      3.5449555      0              8.0991917      69.658905    
      3500   2.9766921      3.6652366      0              8.1280946      70.817785    
      3750   2.9994112      3.7275345      0              8.2244544      71.602909    
      4000   2.899882       3.6835098      0              8.0312089      71.186937    
      4250   3.0201434      3.7518203      0              8.2798234      71.897272    
      4500   2.9343897      3.5902749      0              7.9897102      70.071364    
      4750   3.0563405      3.6010993      0              8.1833714      70.280876    
      5000   2.9390344      3.5944695      0              8.0008685      69.96577     
      5250   2.9267475      3.7138094      0              8.101787       71.5594      
      5500   3.0126259      3.6822261      0              8.1989585      71.475219    
      5750   2.9502233      3.5337779      0              7.9569521      69.191811    
      6000   3.0071039      3.6965848      0              8.2050382      71.254684    
      6250   2.9793607      3.5365194      0              8.0033783      69.3098      
      6500   3.0183182      3.6428025      0              8.1680692      71.097579    
      6750   3.040966       3.5718624      0              8.1310842      70.086045    
      7000   3.0620319      3.5551576      0              8.1459627      69.639434    
      7250   2.9916475      3.6588557      0              8.1441359      70.641425    
      7500   3.0458877      3.5783659      0              8.1449665      69.707832    
      7750   3.0823827      3.6282275      0              8.2495439      70.479455    
      8000   2.9605535      3.6498818      0              8.0885437      70.661895    
      8250   3.0694949      3.7749686      0              8.3769629      72.245381    
      8500   2.991099       3.6332728      0              8.1177306      70.709889    
      8750   3.0315149      3.7106068      0              8.2556589      71.627887    
      9000   2.9318256      3.7430351      0              8.1386261      71.315009    
      9250   3.0099951      3.6386873      0              8.1514755      70.490699    
      9500   3.0859468      3.741883       0              8.368543       72.022265    
      9750   2.9619494      3.6317739      0              8.0725286      70.885807    
     10000   3.0764921      3.7221138      0              8.3345987      71.515908    
     10250   2.9702025      3.5654884      0              8.0186167      69.677896    
     10500   3.0169765      3.7500584      0              8.2733134      71.970031    
     10750   2.9226248      3.5618158      0              7.9436123      70.057543    
     11000   3.0357999      3.6644951      0              8.2159715      71.099137    
     11250   2.9361183      3.590432       0              7.992459       70.066627    
     11500   2.9746098      3.6570874      0              8.1168235      71.268355    
     11750   3.0112561      3.6582071      0              8.1728858      71.226175    
     12000   2.943458       3.5510029      0              7.964034       69.357856    
     12250   3.0510634      3.6348363      0              8.2091968      70.932241    
     12500   2.8421483      3.6718612      0              7.933002       70.938324    
     12750   3.0014799      3.6834895      0              8.183511       71.124793    
     13000   2.9838795      3.633814       0              8.1074478      70.563945    
     13250   3.0787001      3.5137871      0              8.1295824      69.54686     
     13500   3.0343752      3.6257311      0              8.1750715      70.235884    
     13750   3.0015105      3.5867651      0              8.0868324      69.81608     
     14000   3.0684819      3.5721788      0              8.1726542      70.114278    
     14250   3.0592056      3.5719415      0              8.1585093      69.929517    
     14500   3.0093392      3.5467643      0              8.058569       69.662242    
     14750   2.9939114      3.7869072      0              8.2755815      72.26331     
     15000   2.9442772      3.6999166      0              8.1141761      71.384991    
     15250   2.9660017      3.7970808      0              8.2439111      72.403106    
     15500   2.9608298      3.7107383      0              8.1498144      71.275146    
     15750   2.9972217      3.6432302      0              8.1368675      70.569596    
     16000   3.089032       3.7859745      0              8.41726        72.684324    
     16250   2.9316905      3.6474596      0              8.0428482      70.50933     
     16500   3.1036966      3.6318753      0              8.285147       70.789422    
     16750   2.8715086      3.6757274      0              7.9808871      70.990703    
     17000   2.987391       3.7506271      0              8.2295255      72.250402    
     17250   2.9242842      3.5626301      0              7.9469145      69.686811    
     17500   2.9919224      3.5953213      0              8.0810135      70.07948     
     17750   3.0407443      3.6574275      0              8.2163168      71.037072    
     18000   2.9326918      3.5823358      0              7.9792255      69.691481    
     18250   3.0110689      3.6523806      0              8.1667785      70.66628     
     18500   2.9703834      3.6074474      0              8.060847       70.204165    
     18750   3.0044234      3.6708575      0              8.1752922      71.135008    
     19000   2.9626359      3.708526       0              8.1503099      71.399092    
     19250   2.8896472      3.7302635      0              8.0626179      71.488192    
     19500   3.0646221      3.6743064      0              8.2689949      71.197561    
     19750   2.9264476      3.6422122      0              8.0297402      70.526356    
     20000   3.1251884      3.6432005      0              8.3286941      70.879591    
     20250   2.9453775      3.5993625      0              8.0152715      70.015095    
     20500   3.049011       3.664298       0              8.2355813      71.16661     
     20750   2.9183083      3.6475982      0              8.0229231      70.969824    
     21000   2.9849284      3.647529       0              8.1227354      70.924979    
     21250   3.0047438      3.6702037      0              8.1751186      70.954392    
     21500   2.9534475      3.6079977      0              8.0360058      70.252768    
     21750   2.9946211      3.7032056      0              8.1929439      71.224834    
     22000   2.8622754      3.5908321      0              7.8821488      69.631229    
     22250   2.9487983      3.7228837      0              8.1439214      71.619393    
     22500   3.0006835      3.6799686      0              8.1787961      71.104174    
     22750   2.9346459      3.5794165      0              7.9792359      69.455372    
     23000   3.1160737      3.5760442      0              8.2478725      70.127475    
     23250   3.0224917      3.5075852      0              8.039109       69.210327    
     23500   3.0587841      3.7514749      0              8.3374107      72.103542    
     23750   2.9233575      3.6853418      0              8.0682369      71.146948    
     24000   3.1642642      3.6391527      0              8.3832314      70.624874    
     24250   3.0714348      3.5660815      0              8.1709841      69.896075    
     24500   2.9325695      3.6801843      0              8.0768907      70.810991    
     24750   3.0273411      3.7759859      0              8.3147803      72.493326    
     25000   2.9778614      3.5928296      0              8.0574407      69.696953    
     25250   3.0218722      3.7109782      0              8.2415732      71.439495    
     25500   3.021888       3.6419966      0              8.1726153      70.716341    
     25750   3.0031568      3.5989428      0              8.1014784      70.410999    
     26000   3.0441697      3.6938188      0              8.2578438      71.751193    
